Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,500,500,5,5,0,0
4,495,0,495,6,6,0,0
5,489,0,489,5,5,0,0
6,484,0,484,9,9,0,0
7,475,21,496,6,6,0,0
8,490,9,499,7,7,0,0
9,492,4,496,25,25,0,0
10,471,19,490,32,32,0,0
11,458,4,462,134,134,0,0
12,328,3,331,377,331,46,0
13,0,108,108,581,108,473,0
14,0,24,24,534,24,510,0
15,0,548,548,465,465,0,0
16,83,1722,1805,519,519,0,0
17,1286,490,1776,461,461,0,0
18,1315,0,1315,332,332,0,0
19,983,0,983,274,274,0,0
20,709,439,1148,214,214,0,0
21,934,309,1243,230,230,0,0
22,1013,215,1228,158,158,0,0
23,1070,185,1255,122,122,0,0
24,1133,125,1258,70,70,0,0
25,1188,98,1286,55,55,0,0
26,1231,17,1248,47,47,0,0
27,1201,0,1201,46,46,0,0
28,1155,0,1155,47,47,0,0
29,1108,0,1108,40,40,0,0
30,1068,0,1068,49,49,0,0
31,1019,0,1019,32,32,0,0
32,987,0,987,20,20,0,0
33,967,0,967,39,39,0,0
34,928,0,928,48,48,0,0
35,880,0,880,41,41,0,0
36,839,0,839,47,47,0,0
37,792,0,792,71,71,0,0
38,721,0,721,129,129,0,0
39,592,0,592,156,156,0,0
40,436,0,436,196,196,0,0
41,240,48,288,207,207,0,0
42,81,443,524,218,218,0,0
43,306,71,377,253,253,0,0
44,124,412,536,293,293,0,0
45,243,201,444,405,405,0,0
46,39,207,246,399,246,153,0
47,0,418,418,464,418,46,0
48,0,429,429,514,429,85,0
49,0,988,988,572,572,0,0
50,416,0,416,625,416,209,0
51,0,600,600,733,600,133,0
52,0,589,589,818,589,229,0
53,0,784,784,940,784,156,0
54,0,571,571,806,571,235,0
55,0,1142,1142,757,757,0,0
56,385,703,1088,565,565,0,0
57,523,1292,1815,518,518,0,0
58,1297,199,1496,434,434,0,0
59,1062,424,1486,383,383,0,0
60,1103,394,1497,391,391,0,0
61,1106,388,1494,386,386,0,0
62,1108,322,1430,459,459,0,0
63,971,251,1222,553,553,0,0
64,669,231,900,669,669,0,0
65,231,178,409,899,409,490,0
66,0,380,380,1229,380,849,0
67,0,1002,1002,1511,1002,509,0
68,0,1086,1086,1380,1086,294,0
69,0,1541,1541,1197,1197,0,0
70,344,1614,1958,998,998,0,0
71,960,1553,2513,739,739,0,0
72,1774,426,2200,625,625,0,0
73,1575,651,2226,408,408,0,0
74,1818,725,2543,320,320,0,0
75,2223,451,2674,255,255,0,0
76,2419,389,2808,190,190,0,0
77,2618,150,2768,160,160,0,0
78,2608,0,2608,117,117,0,0
79,2491,0,2491,103,103,0,0
80,2388,0,2388,80,80,0,0
81,2308,0,2308,63,63,0,0
82,2245,0,2245,55,55,0,0
83,2190,0,2190,93,93,0,0
84,2097,0,2097,112,112,0,0
85,1985,0,1985,179,179,0,0
86,1806,0,1806,224,224,0,0
87,1582,0,1582,261,261,0,0
88,1321,0,1321,226,226,0,0
89,1095,0,1095,213,213,0,0
90,882,0,882,212,212,0,0
91,670,82,752,180,180,0,0
92,572,104,676,178,178,0,0
93,498,132,630,164,164,0,0
94,466,196,662,164,164,0,0
95,498,154,652,125,125,0,0
96,527,161,688,170,170,0,0
97,518,145,663,205,205,0,0
98,458,142,600,199,199,0,0
99,401,74,475,206,206,0,0
100,269,149,418,238,238,0,0
101,180,378,558,280,280,0,0
102,278,104,382,317,317,0,0
103,65,261,326,405,326,79,0
104,0,366,366,953,366,587,0
105,0,465,465,1542,465,1077,0
106,0,405,405,1890,405,1485,0
107,0,808,808,1769,808,961,0
108,0,3961,3961,1240,1240,0,0
109,2721,1776,4497,910,910,0,0
110,3587,362,3949,633,633,0,0
111,3316,0,3316,467,467,0,0
112,2849,540,3389,387,387,0,0
113,3002,422,3424,355,355,0,0
114,3069,214,3283,340,340,0,0
115,2943,97,3040,352,352,0,0
116,2688,80,2768,432,432,0,0
117,2336,0,2336,526,526,0,0
118,1810,0,1810,685,685,0,0
119,1125,0,1125,810,810,0,0
120,315,0,315,783,315,468,0
121,0,566,566,658,566,92,0
122,0,1482,1482,566,566,0,0
123,916,932,1848,445,445,0,0
124,1403,0,1403,409,409,0,0
125,994,337,1331,283,283,0,0
126,1048,428,1476,247,247,0,0
127,1229,306,1535,209,209,0,0
128,1326,302,1628,221,221,0,0
129,1407,156,1563,279,279,0,0
130,1284,83,1367,374,374,0,0
131,993,0,993,458,458,0,0
132,535,0,535,639,535,104,0
133,0,131,131,618,131,487,0
134,0,795,795,550,550,0,0
135,245,646,891,553,553,0,0
136,338,1491,1829,459,459,0,0
137,1370,0,1370,548,548,0,0
138,822,0,822,469,469,0,0
139,353,441,794,478,478,0,0
140,316,381,697,459,459,0,0
141,238,627,865,428,428,0,0
142,437,355,792,521,521,0,0
143,271,439,710,574,574,0,0
144,136,392,528,612,528,84,0
145,0,356,356,757,356,401,0
146,0,606,606,697,606,91,0
147,0,805,805,690,690,0,0
148,115,682,797,660,660,0,0
149,137,1166,1303,535,535,0,0
150,768,186,954,403,403,0,0
151,551,495,1046,415,415,0,0
152,631,632,1263,387,387,0,0
153,876,423,1299,385,385,0,0
154,914,270,1184,444,444,0,0
155,740,333,1073,481,481,0,0
156,592,302,894,569,569,0,0
157,325,246,571,553,553,0,0
158,18,349,367,380,367,13,0
159,0,518,518,354,354,0,0
160,164,1073,1237,332,332,0,0
161,905,293,1198,337,337,0,0
162,861,118,979,339,339,0,0
163,640,255,895,318,318,0,0
164,577,264,841,318,318,0,0
165,523,296,819,336,336,0,0
166,483,300,783,286,286,0,0
167,497,257,754,265,265,0,0
168,489,224,713,288,288,0,0
169,425,262,687,261,261,0,0
170,426,268,694,237,237,0,0
171,457,207,664,266,266,0,0
172,398,271,669,205,205,0,0
173,464,233,697,170,170,0,0
174,527,198,725,167,167,0,0
175,558,247,805,134,134,0,0
176,671,162,833,128,128,0,0
177,705,108,813,119,119,0,0
178,694,123,817,129,129,0,0
179,688,84,772,85,85,0,0
180,687,68,755,90,90,0,0
181,665,66,731,63,63,0,0
182,668,89,757,59,59,0,0
183,698,17,715,59,59,0,0
184,656,47,703,55,55,0,0
185,648,23,671,65,65,0,0
186,606,18,624,62,62,0,0
187,562,31,593,68,68,0,0
188,525,28,553,78,78,0,0
189,475,44,519,86,86,0,0
190,433,37,470,126,126,0,0
191,344,78,422,164,164,0,0
192,258,131,389,177,177,0,0
193,212,100,312,187,187,0,0
194,125,304,429,284,284,0,0
195,145,310,455,300,300,0,0
196,155,122,277,275,275,0,0
197,2,232,234,246,234,12,0
198,0,855,855,293,293,0,0
199,562,129,691,317,317,0,0
200,374,185,559,271,271,0,0
201,288,160,448,320,320,0,0
202,128,372,500,377,377,0,0
203,123,382,505,423,423,0,0
204,82,243,325,441,325,116,0
205,0,283,283,365,283,82,0
206,0,770,770,387,387,0,0
207,383,543,926,368,368,0,0
208,558,238,796,378,378,0,0
